chiffre	pix1	pix2	pix3	pix4	pix5	pix6	pix7	pix8	pix9	pix10	pix11	pix12	pix13	pix14	pix15	pix16	pix17	pix18	pix19	pix20	pix21	pix22	pix23	pix24	pix25	pix26	pix27	pix28	pix29	pix30	pix31	pix32	pix33	pix34	pix35	pix36	pix37	pix38	pix39	pix40	pix41	pix42	pix43	pix44	pix45	pix46	pix47	pix48	pix49	pix50	pix51	pix52	pix53	pix54	pix55	pix56	pix57	pix58	pix59	pix60	pix61	pix62	pix63	pix64
C0	0	0	3	8	14	9	0	0	0	0	11	14	6	13	3	0	0	3	16	3	0	6	6	0	0	6	15	0	0	8	5	0	0	4	12	0	0	11	1	0	0	1	12	0	4	10	0	0	0	0	9	11	14	5	0	0	0	0	2	13	7	0	0	0
C0	0	0	9	16	7	2	0	0	0	1	16	10	15	11	0	0	0	4	16	4	1	15	3	0	0	6	16	2	0	10	6	0	0	4	14	0	0	9	8	0	0	4	14	0	0	14	6	0	0	2	16	12	15	12	0	0	0	0	6	15	13	1	0	0
C0	0	0	4	13	8	0	0	0	0	0	13	16	15	7	0	0	0	3	16	9	6	15	6	0	0	8	14	0	0	4	8	0	0	8	12	0	0	4	8	0	0	4	12	0	0	11	6	0	0	0	14	10	12	14	1	0	0	0	7	15	11	2	0	0
C0	0	0	10	7	3	0	0	0	0	1	15	12	14	6	0	0	0	5	12	0	2	13	0	0	0	4	12	0	0	4	7	0	0	8	5	0	0	4	8	0	0	5	8	0	0	5	10	0	0	0	14	3	4	14	6	0	0	0	7	16	16	10	0	0
C0	0	0	8	16	11	0	0	0	0	1	15	15	14	9	0	0	0	1	15	12	0	12	6	0	0	0	16	7	0	10	4	0	0	0	16	6	0	10	8	0	0	3	16	3	0	15	3	0	0	1	14	14	12	16	0	0	0	0	7	13	16	8	0	0
C0	0	0	10	11	7	0	0	0	0	4	16	16	16	10	0	0	0	4	16	6	5	15	2	0	0	8	12	0	0	5	8	0	0	8	10	0	0	5	8	0	0	6	13	1	5	14	5	0	0	0	14	13	15	11	1	0	0	0	7	12	8	0	0	0
C0	0	0	3	11	12	4	0	0	0	2	15	10	16	12	0	0	0	5	11	0	11	14	4	0	0	8	8	0	0	5	8	0	0	6	8	0	0	4	8	0	0	4	10	0	0	10	5	0	0	1	14	5	7	14	0	0	0	0	7	15	10	1	0	0
C0	0	0	6	16	7	0	0	0	0	0	16	11	14	6	0	0	0	2	15	0	3	16	1	0	0	7	8	0	0	13	2	0	0	5	8	0	0	11	4	0	0	7	7	0	0	12	4	0	0	5	16	7	7	16	0	0	0	0	7	16	12	4	0	0
C0	0	0	4	14	11	3	0	0	0	0	10	16	12	14	1	0	0	1	14	12	0	13	3	0	0	5	16	6	0	8	6	0	0	8	16	0	0	9	8	0	0	7	16	3	7	16	5	0	0	3	15	13	16	15	2	0	0	0	4	15	12	2	0	0
C0	0	0	6	16	12	1	0	0	0	3	16	5	9	13	0	0	0	5	12	0	0	12	6	0	0	8	14	2	0	7	8	0	0	7	12	2	0	4	8	0	0	4	12	0	0	9	7	0	0	3	16	5	7	14	2	0	0	0	7	16	13	3	0	0
C0	0	0	5	13	11	2	0	0	0	2	14	15	15	12	0	0	0	2	16	5	0	7	4	0	0	4	16	3	0	3	6	0	0	3	14	0	0	8	7	0	0	2	16	0	2	14	6	0	0	1	15	15	16	11	0	0	0	0	7	14	10	1	0	0
C0	0	0	2	14	9	1	0	0	0	1	12	12	11	8	0	0	0	4	14	1	0	13	3	0	0	8	13	0	0	10	6	0	0	5	16	1	0	8	9	0	0	0	16	0	0	11	9	0	0	0	13	11	10	15	4	0	0	0	3	15	16	5	0	0
C0	0	0	2	11	10	1	0	0	0	0	10	13	14	13	0	0	0	0	13	0	0	14	5	0	0	3	9	0	0	9	6	0	0	5	9	0	0	5	8	0	0	6	12	0	0	8	4	0	0	0	14	11	5	14	1	0	0	0	3	13	14	5	0	0
C0	0	0	2	12	12	1	0	0	0	2	12	12	6	11	0	0	0	10	13	0	0	10	2	0	0	8	11	0	0	6	6	0	0	7	9	0	0	4	9	0	0	3	13	0	0	8	12	0	0	0	12	12	9	16	7	0	0	0	1	12	16	9	1	0
C0	0	0	6	14	9	0	0	0	0	2	16	8	13	8	0	0	0	6	12	0	2	12	2	0	0	4	9	0	0	7	7	0	0	6	12	0	0	4	8	0	0	6	15	0	0	3	9	0	0	0	15	6	4	8	11	0	0	0	6	14	16	12	1	0
C0	0	0	2	14	9	2	0	0	0	0	10	16	16	13	0	0	0	0	12	6	3	14	4	0	0	1	13	2	0	6	8	0	0	7	14	0	0	7	7	0	0	2	16	2	0	12	4	0	0	0	11	12	12	15	0	0	0	0	2	14	14	2	0	0
C0	0	0	4	15	16	6	0	0	0	0	14	15	8	14	2	0	0	7	12	2	0	8	4	0	0	7	8	0	0	5	8	0	0	8	8	0	0	9	8	0	0	3	11	0	0	10	7	0	0	0	15	7	8	14	2	0	0	0	5	12	14	6	0	0
C0	0	0	2	12	11	2	0	0	0	1	15	12	9	13	0	0	0	6	13	1	0	14	2	0	0	6	12	0	0	8	8	0	0	8	12	0	0	7	8	0	0	5	15	0	0	7	9	0	0	0	13	9	8	15	4	0	0	0	3	13	16	8	0	0
C0	0	0	2	8	15	7	0	0	0	0	11	15	6	14	3	0	0	0	16	6	0	4	9	0	0	8	4	0	0	4	8	0	0	6	7	0	0	5	8	0	0	3	13	0	0	13	1	0	0	0	10	11	8	11	0	0	0	0	1	13	11	2	0	0
C0	0	0	4	16	16	6	0	0	0	3	11	11	5	15	2	0	0	8	16	8	0	13	7	0	0	11	16	3	0	10	11	0	0	9	16	0	0	4	12	0	0	6	16	2	0	7	11	0	0	1	16	10	5	15	5	0	0	0	4	15	16	10	0	0
C0	0	0	11	12	5	0	0	0	0	0	12	16	16	10	0	0	0	0	16	4	8	16	3	0	0	2	16	1	0	9	8	0	0	4	13	0	0	10	8	0	0	1	15	0	3	16	9	0	0	2	16	13	16	13	1	0	0	0	13	13	7	0	0	0
C0	0	0	2	15	10	1	0	0	0	2	13	12	14	9	0	0	0	6	16	1	1	14	2	0	0	8	16	0	0	10	5	0	0	8	14	2	0	8	8	0	0	6	14	0	0	8	8	0	0	1	14	12	8	15	6	0	0	0	3	13	16	8	1	0
C0	0	0	4	14	11	3	0	0	0	1	14	15	16	14	0	0	0	3	16	2	3	11	4	0	0	6	11	0	0	6	6	0	0	7	13	0	0	8	7	0	0	2	15	0	0	14	3	0	0	0	12	6	11	13	0	0	0	0	4	12	13	2	0	0
C0	0	0	5	14	10	7	0	0	0	0	16	16	16	16	3	0	0	3	16	10	2	16	7	0	0	7	16	3	0	12	8	0	0	8	16	1	0	12	8	0	0	7	16	5	2	16	4	0	0	2	16	15	14	13	0	0	0	0	7	15	13	2	0	0
C1	0	0	1	11	14	5	0	0	0	0	0	15	16	11	0	0	0	0	5	16	16	8	0	0	0	0	5	16	16	5	0	0	0	0	4	16	16	3	0	0	0	0	9	16	16	2	0	0	0	0	8	16	14	0	0	0	0	0	2	13	16	9	0	0
C1	0	0	2	14	15	4	0	0	0	0	2	16	16	11	0	0	0	0	2	16	16	10	0	0	0	0	5	16	16	7	0	0	0	0	14	16	14	2	0	0	0	4	16	16	8	0	0	0	0	3	15	16	8	0	0	0	0	0	5	15	13	2	0	0
C1	0	0	1	8	10	8	3	0	0	0	1	16	16	16	8	0	0	0	0	14	16	16	3	0	0	0	1	16	16	15	0	0	0	0	6	16	16	10	0	0	0	0	10	16	15	4	0	0	0	0	8	16	14	0	0	0	0	0	1	8	8	1	0	0
C1	0	0	0	3	15	16	1	0	0	0	7	15	16	14	0	0	0	4	16	16	15	13	0	0	0	0	8	2	15	13	0	0	0	0	0	0	16	15	0	0	0	0	0	0	16	12	0	0	0	0	0	1	16	16	2	0	0	0	0	3	15	13	1	0
C1	0	0	0	2	14	10	0	0	0	0	1	12	16	13	0	0	0	6	13	16	16	6	0	0	0	5	10	12	16	5	0	0	0	0	0	7	16	5	0	0	0	0	0	4	16	6	0	0	0	0	0	4	16	7	0	0	0	0	0	2	11	14	0	0
C1	0	0	8	14	1	0	0	0	0	0	7	16	3	0	0	0	0	0	6	16	6	0	0	0	0	0	6	16	9	0	0	0	0	0	2	16	14	0	0	0	0	0	0	8	16	3	0	0	0	0	12	12	16	16	12	4	0	0	7	16	16	16	12	5
C1	0	0	9	13	1	0	0	0	0	0	8	16	6	0	0	0	0	0	7	16	10	0	0	0	0	0	13	16	10	0	0	0	0	0	9	16	14	0	0	0	0	0	0	7	16	5	0	0	0	0	3	9	16	13	8	5	0	0	4	15	16	16	16	16
C1	0	0	1	15	11	1	0	0	0	0	5	16	16	7	0	0	0	0	0	14	16	14	0	0	0	0	0	14	16	16	2	0	0	0	2	16	16	16	2	0	0	0	0	14	16	15	1	0	0	0	1	16	16	16	3	0	0	0	2	12	16	15	5	0
C1	0	0	0	0	12	11	1	0	0	0	0	1	16	16	7	0	0	0	1	14	16	16	7	0	0	1	14	16	14	16	8	0	0	5	12	3	8	16	7	0	0	0	0	0	8	16	4	0	0	0	0	0	8	16	1	0	0	0	0	0	11	12	0	0
C1	0	0	4	12	13	2	0	0	0	0	5	16	16	5	0	0	0	0	5	16	16	6	0	0	0	0	9	16	15	0	0	0	0	0	10	16	14	0	0	0	0	0	12	16	12	0	0	0	0	0	5	16	11	0	0	0	0	0	6	16	13	0	0	0
C1	0	0	0	7	8	2	0	0	0	0	2	15	16	8	0	0	0	0	4	16	16	8	0	0	0	0	8	16	16	9	0	0	0	3	16	16	16	16	0	0	0	1	6	9	16	16	0	0	0	0	0	7	16	16	2	0	0	0	0	7	11	3	0	0
C1	0	0	6	16	11	0	0	0	0	0	9	16	16	5	0	0	0	0	8	16	16	4	0	0	0	0	10	16	13	0	0	0	0	0	13	16	12	0	0	0	0	0	10	16	9	0	0	0	0	0	9	16	10	0	0	0	0	0	4	15	16	3	0	0
C1	0	0	7	15	8	2	0	0	0	0	12	16	14	5	0	0	0	0	12	16	16	4	0	0	0	0	12	16	16	2	0	0	0	0	13	16	16	2	0	0	0	0	14	16	16	0	0	0	0	1	14	16	16	14	1	0	0	1	8	16	11	8	0	0
C1	0	0	0	6	16	4	0	0	0	0	0	16	16	5	0	0	0	0	5	16	16	4	0	0	0	5	15	16	16	4	0	0	0	8	16	16	16	7	0	0	0	0	0	7	16	16	0	0	0	0	0	6	16	16	5	0	0	0	0	3	16	16	3	0
C1	0	0	0	15	12	1	0	0	0	0	5	16	16	6	0	0	0	0	2	16	16	3	0	0	0	0	2	16	16	1	0	0	0	0	6	16	13	0	0	0	0	0	1	16	16	2	0	0	0	0	3	16	15	3	0	0	0	0	0	15	16	1	0	0
C1	0	0	1	14	2	0	0	0	0	0	0	16	5	0	0	0	0	0	0	14	10	0	0	0	0	0	0	11	16	1	0	0	0	0	0	3	14	6	0	0	0	0	0	0	8	12	0	0	0	0	10	14	13	16	8	3	0	0	2	11	12	15	16	15
C1	0	0	0	0	14	12	0	0	0	0	0	0	16	16	0	0	0	1	6	12	16	16	0	0	0	6	12	10	16	14	0	0	0	0	0	0	16	16	0	0	0	0	0	0	16	15	0	0	0	0	0	2	16	16	7	0	0	0	0	1	13	16	4	0
C1	0	0	1	16	14	2	0	0	0	0	4	16	16	8	0	0	0	0	7	16	16	3	0	0	0	0	10	16	16	3	0	0	0	0	13	16	12	0	0	0	0	0	15	16	12	0	0	0	0	0	11	16	11	0	0	0	0	0	3	15	16	9	0	0
C1	0	0	0	8	12	9	2	0	0	0	5	16	16	16	4	0	0	0	9	16	16	11	0	0	0	3	16	16	16	5	0	0	0	4	16	16	16	4	0	0	0	1	15	16	16	3	0	0	0	0	8	16	16	9	0	0	0	0	0	9	12	6	0	0
C1	0	0	0	0	8	13	1	0	0	0	1	9	15	14	1	0	0	6	14	16	16	10	0	0	0	5	11	4	16	9	0	0	0	0	0	3	16	5	0	0	0	0	0	3	16	7	0	0	0	0	0	0	16	10	0	0	0	0	0	0	11	13	0	0
C2	0	2	15	13	2	0	0	0	0	6	16	14	15	1	0	0	0	7	12	0	15	8	0	0	0	4	7	0	16	8	0	0	0	0	0	1	16	3	0	0	0	0	0	9	15	0	0	0	0	2	15	16	16	14	5	0	0	2	10	12	13	16	8	0
C2	0	0	8	15	10	0	0	0	0	3	16	16	15	1	0	0	0	9	13	1	16	1	0	0	0	7	11	2	16	1	0	0	0	0	0	9	14	0	0	0	0	0	1	16	9	2	4	0	0	0	13	16	16	16	16	0	0	0	11	16	9	8	9	0
